Asset_Number_AR,Asset_Description_AR,Category,Model_No,Model_Description,Colour_Scheme,Easting_Coord,Northing_Coord,latitude,longitude
1077154,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,321140.1488,5815586.003,-37.7895966189,144.968707057
1077155,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320310.0448,5812945.241,-37.8132203276,144.958630306
1077156,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Mid Brunswick Green,320227.347,5812912.138,-37.8135022192,144.957683148
1077157,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320213.4444,5812874.035,-37.8138426919,144.95751584
1077158,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320216.9489,5812882.444,-37.8137676385,144.957557717
1077159,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321739.4754,5812732.044,-37.815420958,144.974807529
1077160,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Hawthorn Green,321030.9981,5812704.769,-37.8155280052,144.966756526
1077161,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,319434.7618,5813418.866,-37.8087814896,144.948810558
1077162,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320565.2217,5811625.065,-37.8251619505,144.961200371
1077163,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320569.3364,5811665.407,-37.8247993811,144.961257098
1077164,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,320652.2651,5811723.506,-37.82429236,144.962213205
1077166,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320090.8695,5813876.675,-37.8047873187,144.956373153
1077167,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,320080.0344,5813784.443,-37.8056159591,144.956227243
1077168,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,319944.8928,5812922.006,-37.8133576663,144.954478643
1077169,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,Dark Brunswick Green,321086.7897,5811235.683,-37.8287717143,144.967026913
1077170,Litter Bin - Steel 80 L Litter Bin,Litter Bin,200201-016,Litter Bin - Steel 80 L Litter Bin,,322957.0447,5813105.509,-37.8122938949,144.988723602
